ZRT-RV-THD-000-XX-00099	THRIVE HD REFLEX GREEN DOT 3 MOA HIGH MOUNT
ZRT-RV-THD-000-XX-00100	THRIVE HD REFLEX 3 MOA HIGH
ZRT-RV-THR-000-XX-00101	THRIVE RED DOT 3 MOA
ZRT-RV-TRC-000-FD-00092	TRACE ASPHERICAL ENCLOSED RED DOT - HALO - FDE
ZRT-RV-TRC-000-XX-00091	TRACE HALO ASPHERICAL ENCLOSED 3 MOA, Red Dot
ZRT-RV-TRC-000-XX-00093	RAS 1X25 DIGITAL RED DOT 2 MOA, HIGH & LOW MOUNT
ZRT-SSC-THR-000-XX-00095	20-60X85 TING SCOPE
ZRT-SSC-TRA-000-XX-00094	20-60X80 FFP OSR MRAD SPOTTING SCOPE
ZRT-ZF-THD-000-XX-00112	THRIVE HD 1-8X24 PHR 4 IR
ZRT-ZF-THD-000-XX-00113	THRIVE HD 1-8X24 G4 IR
ZRT-ZF-THD-000-XX-00114	THRIVE HD FFP 6-24X50 IR LR HUNTER MRAD
ZRT-ZF-THD-000-XX-00115	THRIVE HD 3-18X56 PHR II IR ILLUMINATED
ZRT-ZF-THD-000-XX-00116	THRIVE HD 2.5-15X50 PHR II
ZRT-ZF-THD-000-XX-00117	THRIVE HD 2.5-15X50 PHR II ILLUMINATED
ZRT-ZF-THR-000-XX-00103	THRIVE 3-9X40 ZEROPLEX
ZRT-ZF-THR-000-XX-00104	THRIVE 3-9X40 PHR 4
ZRT-ZF-THR-000-XX-00105	THRIVE 3-12X44 ZEROPLEX
ZRT-ZF-THR-000-XX-00106	THRIVE 4-16X50 PHR II
ZRT-ZF-THR-000-XX-00107	THRIVE 4-16X50 ZEROPLEX
ZRT-ZF-THR-000-XX-00108	THRIVE 4-16X50 MILDOT
ZRT-ZF-TRA-000-XX-00078	TRACE ADVANCED 5-30X56 T3 ED TREMOR 3
ZRT-ZF-TRA-000-XX-00079	TRACE ADVANCED 5-30X56 RMG2 ED
ZRT-ZF-TRA-000-XX-00080	TRACE ADVANCED 4-24X50 FFP TREMOR 3 MRAD JAPAN
ZRT-ZF-TRA-000-XX-00081	TRACE ADVANCED 4-24X50 FFP RMG IR 0.1 MRAD JAPAN
ZRT-ZF-TRC-000-XX-00109	TRACE 4.5-27X50 RMG FFP MOA
ZRT-ZF-TRC-000-XX-00110	TRACE 4.5-27X50 RMG FFP
ZRT-ZF-TRC-000-XX-00111	TRACE 4.5-27X50 R3 MOA
ZRT-ZF-TRD-000-XX-00118	TRACE ED 1-10X24 FFP 34MM MRAD LPVO
ZRT-ZF-VEN-000-XX-00066	VENGEANCE 5-25X56 RMG FFP MRAD ZERO STOP
ZRT-ZF-VEN-000-XX-00071	VENGEANCE 4-20X50 R3 ILLUM
ZRT-ZF-VEN-000-XX-00072	VENGEANCE 4-20X50 PHR II IR
ZRT-ZF-VEN-000-XX-00073	VENGEANCE 4-20X50 R3
ZRT-ZF-VEN-000-XX-00074	VENGEANCE 4-20X50 PHR II
ZRT-ZF-VEN-000-XX-00075	VENGEANCE 6-24X50 FFP RMG MRAD
ZRT-ZF-VEN-000-XX-00076	VENGEANCE 6-24X50 FFP RMG MOA
ZRT-ZF-VEN-000-XX-00077	VENGEANCE 3-12X40 ZEROPLEX
ZRT-ZF-VEN-000-XX-00102	VENGEANCE 1-6X24 SFP RAR MOA
